iter	Passed	Remaining
399	26625	39938
400	26679	39852
401	26734	39769
402	26807	39712
403	26862	39629
404	26925	39557
405	26979	39473
406	27041	39399
407	27101	39323
408	27158	39244
409	27218	39167
410	27282	39098
411	27346	39027
412	27404	38949
413	27456	38864
414	27515	38787
415	27579	38717
416	27631	38631
417	27687	38550
418	27748	38476
419	27806	38399
420	27868	38327
421	27922	38244
422	27983	38171
423	28039	38091
424	28092	38007
425	28145	37923
426	28212	37858
427	28271	37784
428	28323	37699
429	28374	37612
430	28431	37535
431	28509	37484
432	28561	37400
433	28618	37322
434	28674	37243
435	28729	37164
436	28783	37083
437	28841	37006
438	28901	36932
439	28963	36862
440	29030	36797
441	29083	36716
442	29147	36647
443	29203	36570
444	29260	36492
445	29324	36425
446	29389	36359
447	29447	36283
448	29505	36208
449	29560	36129
450	29616	36052
451	29671	35974
452	29729	35898
453	29785	35821
454	29850	35755
455	29908	35680
456	29966	35605
457	30026	35533
458	30091	35467
459	30151	35394
460	30210	35321
461	30267	35246
462	30326	35173
463	30396	35112
464	30450	35034
465	30503	34954
466	30574	34895
467	30632	34821
468	30688	34745
469	30746	34671
470	30806	34600
471	30865	34527
472	30918	34448
473	30976	34374
474	31065	34335
475	31127	34266
476	31180	34187
477	31235	34110
478	31308	34053
479	31368	33982
480	31421	33904
481	31474	33825
482	31530	33749
483	31590	33679
484	31650	33608
485	31710	33537
486	31773	33469
487	31835	33401
488	31892	33326
489	31945	33249
490	32024	33198
491	32081	33124
492	32133	33046
493	32187	32969
494	32244	32896
495	32304	32825
496	32365	32756
497	32425	32685
498	32508	32638
499	32568	32568
500	32628	32498
501	32687	32426
502	32757	32366
503	32870	32348
504	32947	32294
505	33010	32228
506	33067	32154
507	33127	32084
508	33182	32009
509	33239	31935
510	33322	31887
511	33468	31899
512	33531	31831
513	33591	31761
514	33646	31686
515	33716	31625
516	33770	31550
517	33826	31475
518	33879	31398
519	33939	31329
520	33997	31257
521	34055	31184
522	34126	31124
523	34184	31052
524	34241	30980
525	34307	30915
526	34360	30839
527	34424	30773
528	34482	30701
529	34548	30637
530	34615	30573
531	34681	30509
532	34742	30440
533	34803	30371
534	34874	30311
535	34939	30246
536	35006	30182
537	35061	30108
538	35121	30038
539	35179	29967
540	35238	29897
541	35291	29821
542	35350	29751
543	35409	29681
544	35471	29613
545	35526	29540
546	35581	29466
547	35656	29409
548	35714	29338
549	35777	29272
550	35839	29205
551	35905	29140
552	35963	29070
553	36016	28995
554	36066	28918
555	36122	28845
556	36183	28777
557	36241	28707
558	36298	28636
559	36361	28570
560	36421	28501
561	36481	28432
562	36534	28357
563	36604	28297
564	36663	28227
565	36715	28152
566	36778	28086
567	36848	28025
568	36905	27955
569	36964	27885
570	37021	27814
571	37084	27748
572	37142	27678
573	37206	27613
574	37261	27541
575	37323	27474
576	37380	27403
577	37435	27331
578	37500	27266
579	37561	27199
580	37617	27128
