iter	RMSE
0	50.29017491
1	46.31071161
2	42.84252715
3	39.89783535
4	37.36453604
5	35.22080716
6	33.38276665
7	31.84827638
8	30.52563747
9	29.43506132
10	28.50863497
11	27.73067052
12	27.07392985
13	26.52820163
14	26.08014509
15	25.70499681
16	25.39542574
17	25.11272652
18	24.87927974
19	24.6954455
20	24.53796882
21	24.40031599
22	24.28771658
23	24.18654053
24	24.10033068
25	24.02506533
26	23.9632755
27	23.90726777
28	23.85989018
29	23.81404437
30	23.7782886
31	23.74265704
32	23.71292051
33	23.68636632
34	23.6645713
35	23.6444337
36	23.61886699
37	23.59842055
38	23.58120351
39	23.56039388
40	23.54617542
41	23.52950518
42	23.51302695
43	23.49444975
44	23.4753488
45	23.46193642
46	23.44654606
47	23.4372295
48	23.42485241
49	23.41175141
50	23.39572455
51	23.38119361
52	23.36865306
53	23.3572594
54	23.34413997
55	23.33415878
56	23.32087077
57	23.31257043
58	23.3031819
59	23.2898583
60	23.27902771
61	23.26395902
62	23.25458084
63	23.23925051
64	23.2307357
65	23.21930143
66	23.21215063
67	23.20191225
68	23.18987939
69	23.1817305
70	23.16967431
71	23.16093605
72	23.14936431
73	23.14068721
74	23.13051374
75	23.12065338
76	23.11318162
77	23.10225921
78	23.09415768
79	23.0848239
80	23.07688258
81	23.06994674
82	23.05985821
83	23.05047342
84	23.03829526
85	23.03050839
86	23.02310536
87	23.01484307
88	23.00797922
89	23.00106941
90	22.99614814
91	22.99076729
92	22.98390235
93	22.97579607
94	22.9696149
95	22.96323923
96	22.95518146
97	22.94834051
98	22.93995847
99	22.93072415
100	22.92445975
101	22.91827147
102	22.91279184
103	22.90551464
104	22.90135751
105	22.89567189
106	22.88789311
107	22.88302425
108	22.87601878
109	22.87046918
110	22.86470142
111	22.85554264
112	22.8505113
113	22.84387866
114	22.8389824
115	22.83526413
116	22.82732764
117	22.82070262
118	22.81526854
119	22.8094255
120	22.80392563
121	22.79813187
122	22.79323597
123	22.78614284
124	22.77930503
125	22.77432294
126	22.76566878
127	22.76068864
128	22.7549195
129	22.75108126
130	22.74583503
131	22.73953387
132	22.73576131
133	22.73238094
134	22.72732902
135	22.72064925
136	22.71614542
137	22.71202526
138	22.70796161
139	22.703175
140	22.69967018
141	22.69515342
142	22.69011773
143	22.68363199
144	22.67883517
145	22.67414447
146	22.67078737
147	22.66518523
148	22.6605705
149	22.65630419
150	22.6523242
151	22.64704136
152	22.6424782
153	22.63747303
154	22.63348814
155	22.62882257
156	22.62421595
157	22.62046189
158	22.61546512
159	22.61089201
160	22.60641761
161	22.60234547
162	22.59872822
163	22.59570764
164	22.59175346
165	22.58879792
166	22.584141
167	22.58127268
168	22.57642492
169	22.573023
170	22.5692361
171	22.56350075
172	22.56099757
173	22.55501307
174	22.55199284
175	22.54773869
176	22.54303743
177	22.54030402
178	22.53702963
179	22.53217405
180	22.5285669
181	22.52506019
182	22.52215325
183	22.51510685
184	22.51019636
185	22.50421422
186	22.50032848
187	22.49677456
188	22.49280932
189	22.48851066
190	22.48363995
191	22.48109031
192	22.4783838
193	22.47184002
194	22.46932011
195	22.46526915
196	22.46159909
197	22.45539906
198	22.45184831
199	22.44715471
200	22.44371399
201	22.43973173
202	22.43621199
203	22.43342647
204	22.42965166
205	22.42710518
206	22.42426084
207	22.42116076
208	22.41800303
209	22.4155415
210	22.41277063
211	22.40755236
212	22.40523759
213	22.40250413
214	22.39966207
215	22.3972828
216	22.39416287
217	22.39166353
218	22.38678624
219	22.37894887
220	22.37484954
221	22.3705623
222	22.3650469
223	22.36099064
224	22.35836588
225	22.3542865
226	22.351214
227	22.34386606
228	22.33995296
229	22.33603698
230	22.33204069
231	22.32868165
232	22.32075789
233	22.3183782
234	22.31319324
235	22.31048732
236	22.30575692
237	22.30138958
238	22.29847762
239	22.29576519
240	22.29270925
241	22.28952337
242	22.28500772
243	22.28281592
244	22.27661789
245	22.27275717
246	22.26896747
247	22.26531626
248	22.26322993
249	22.25710108
250	22.25419505
251	22.2496506
252	22.24635486
253	22.24315309
254	22.24052537
255	22.2374766
256	22.23434429
257	22.23143629
258	22.22832418
259	22.22323394
260	22.21711372
261	22.21389199
262	22.21115314
263	22.20803914
264	22.2055009
265	22.20102993
266	22.1983103
267	22.19414498
268	22.19105108
269	22.18742065
270	22.18434571
271	22.17870921
272	22.17604143
273	22.1736836
274	22.17045427
275	22.16678277
276	22.16425325
277	22.16161276
278	22.1559297
279	22.15142404
280	22.14679715
281	22.14205161
282	22.13941819
283	22.13610143
284	22.1318619
285	22.12923933
286	22.1251933
287	22.12347936
288	22.12086042
289	22.11675594
290	22.11274779
291	22.10950263
292	22.10593754
293	22.10338785
294	22.1012972
295	22.09900111
296	22.09366544
297	22.09198671
298	22.0899435
299	22.08615294
300	22.083867
301	22.08137906
302	22.07729663
303	22.07308928
304	22.07084908
305	22.06834692
306	22.06615984
307	22.06191326
308	22.05931913
309	22.05652939
310	22.05450364
311	22.05190882
312	22.04816522
313	22.04480892
314	22.04219071
315	22.03727136
316	22.03371878
317	22.02916163
318	22.02674612
319	22.02446004
320	22.02143762
321	22.01828923
322	22.01582973
323	22.01328718
324	22.01045781
325	22.00885289
326	22.00633813
327	22.00412536
328	22.00060464
329	21.99790152
330	21.99429334
331	21.99225323
332	21.98995709
333	21.98840534
334	21.98542328
335	21.98338551
336	21.9811416
337	21.97939357
338	21.9765052
339	21.97236476
340	21.97024879
341	21.96584256
342	21.9629292
343	21.96090193
344	21.95842027
345	21.95529282
346	21.95360684
347	21.95155876
348	21.94905626
349	21.94430547
350	21.94245418
351	21.94005589
352	21.93684387
353	21.9333073
354	21.92979086
355	21.92711837
356	21.92499939
357	21.92291314
358	21.91794662
359	21.91581545
360	21.91392303
361	21.91037259
362	21.90842409
363	21.90622169
364	21.90239893
365	21.90004017
366	21.89819783
367	21.89343882
368	21.89166732
369	21.88866866
370	21.88398513
371	21.88213809
372	21.87884361
373	21.87417027
374	21.87241941
375	21.87020714
376	21.86858819
377	21.8652826
378	21.86318374
379	21.86070786
380	21.85819125
381	21.85688182
382	21.85340184
383	21.84903157
384	21.84576447
385	21.84305015
386	21.84117581
387	21.83689504
388	21.83413274
389	21.83226542
390	21.82943811
391	21.82765597
392	21.82597516
393	21.82428898
394	21.82072997
395	21.81922392
396	21.81601916
397	21.81397051
398	21.81071867
399	21.80832958
400	21.80631866
401	21.8036273
402	21.80146686
403	21.79495702
404	21.79333443
405	21.79101407
406	21.78875804
407	21.78704809
408	21.78443759
409	21.7819117
410	21.78038404
411	21.778617
412	21.77473693
413	21.77243293
414	21.77110463
415	21.76695131
416	21.765242
417	21.76298143
418	21.76019507
419	21.75730133
420	21.75403912
421	21.75081355
422	21.74922304
423	21.7465802
424	21.74248852
425	21.74057882
426	21.7384605
427	21.73568014
428	21.73198032
429	21.7299126
430	21.72814952
431	21.7254285
432	21.7214286
433	21.71934494
434	21.71737249
435	21.71492911
436	21.71188933
437	21.70984914
438	21.70768402
439	21.70559831
440	21.70299128
441	21.70084653
442	21.69693377
443	21.69330915
444	21.69168987
445	21.6891379
446	21.68725389
447	21.68551009
448	21.68235153
449	21.68008115
450	21.67904878
451	21.67487763
452	21.67392632
453	21.67204713
454	21.66980866
455	21.66836167
456	21.66547186
457	21.66316714
458	21.6610043
459	21.65912192
460	21.65721258
461	21.6555038
462	21.6525605
463	21.65090223
464	21.64900522
465	21.64487991
466	21.6412569
467	21.63800046
468	21.63623174
469	21.63444997
470	21.6316337
471	21.62930457
472	21.62676726
473	21.62447351
474	21.62309745
475	21.62155419
476	21.61996217
477	21.61741774
478	21.61389474
479	21.61168319
480	21.60984112
481	21.60679982
482	21.60538772
483	21.60280571
484	21.6003796
485	21.59905579
486	21.59666059
487	21.59466875
488	21.5922979
489	21.589106
490	21.58645149
